Name,Title,Town,Publisher,Date
45Th Medieval And Renaissance Music Conference.,Prague,4.0-8,July,2017
Abgrall Jean-Marie,Mechanismus sekt,Praha,Karolium,2000
Accurti Thomas,Editiones Saeculi XV Pleraeque Bibliographis Ignotae Annotationes Ad opus quod inscribitur –Gesamtkatalog der wiegendrucke- Voll I-IV,Florentiae Ex,Tipografia Giuntina,MCMXXX [1930].
Achmatovová Anna,Ľúbostný denník,Bratislava,1964,
"Adam, Daniel Z Veleslavína",Nomenclator quadrilinguis Bohemico-Latino-Graeco-Germanicus,Praha,Academia,2015
Adorno Teodor V.,Estetička Teorija,Beograd,Nolit,1979
Adorno Theodor W.,Schéma masové kultury,Praha,Oikoymenh,2009. [malá řada]
"Adorno, Theodor W.",Žargon autenticity K německé ideologii,Praha,Academia,11-30-14
Aischylos,Orestela,Brno,Fr. Borový,1944
Aischylos,Prométheus,Praha,Orbis,1969
Ajtmatov Čingiz,Biela Loď,,,
Aksinov Vasilij,Pomaranče z Maroka,,,
Albrecht Ján,Eseje o umení,Bratislava,Opus,1986
Alighieri Dante,Nový život,Praha,Československý Spisovatel,1969
"Alighieri, Dante",The divine comedy,Wordsworth,2009,
Alihieri Dante,Divina Commedia Introduzione di Italo Borzi Commento a cura di Giovanni Fallani e Silvio Zennaro Edizione integrale,Roma,Newton,20062013
Allen Hervey,Antonio Adverso Berlin Büchergilde Gutenberg 1938,Švabach,Antonio Adverso  Berlin  Büchergilde Gutenberg  1938,
Almanach Rukopisné Obrany,I.,Praha,Neklan,1992
Almanach Rukopisné Obrany,Ii.,Praha,Neklan,1993
Almanach Rukopisné Obrany,Iii.,Praha,Neklan,1995
Alpatov Michail V.,Dejiny umenia,Iii,Iv. Bratislava,Tatran  1981.
Altricher Michal Ed.,Svatý Jiří Životopis a legendy,Olomouc,Centrum Aletti – Refugium,2020
Altrichter Michal,Vyprávění o Desateru,Olomouc,Refugium,2014
Altrichter Michal,Vyprávění o svátostech,Olomouc,Refugium,2019
Ami Šlomo Ben,Válečné Šrámy - Mírové Rány. Izraelsko Arabská Tragedie. ,Praha,Argo,2010
Andersen Christopher,George a Laura Pravda o jednom manželství,Praha,Prah,2003
Anderson M. S.,Europe in the Eighteenth Century 1713-1789,London,Longman,20004
Andreae Johann Valentin,Christiano polis,Praha,Trigon,2017
Andrewes Antony,Greek Society,Oxford,Pelican,1970
Antické Tradice V Českém Umění,,Praha,Národní Galerie V Praze,1982. [katalóg z výstavy]
Antinín Dvořák A Součastníci. Xxx,ročník hudebního festivalu Antonína Dvořáka,Příbram,1998,
Aramilev Ivan,Poľovníckove poviedky,Bratislava,1955,
Ariosto Ludovico,Zuřivý Roland,,Ve Vyprávění A Výběru Itala Calvina. Praha,Odeon  1970.
Ariános,Tažení Alexandra Velikého,Praha,Naše Vojsko,1989
Armstrongová Karen,Islam,Bratislava,Slovart,2002
Artemioros,Snář,Praha,Svoboda,1974
Ashton Anthony,Harmonograf,Praha,2015,
Astafiev Viktor,Stromy Rastú Pre Všetkých,,,
Auboyerová Jeannine A Goepper Roger,Umenie orientu,Bratislava,Pallas,1972. [Umenie sveta]
Ault Warren O.,Europe in the middle ages,London,D.C. Health And Company,1937
Azevedo Aluísio,Činžový dom v Botafogu,,,
"Bakoš, Samuel A Kol.",Lenin Priekopník ve+kého storočia,Bratislava,Obzor,1970
"Batkiewiczová-Broźeková, Joanna",Ježišu,,Ty Sa Postaraj. Dolindo Ruotolo. Život A Zázraky. Bratislava,Zaex  2018.
"Beccaria, Cesare",O zločinoch a trestoch,Bratislava,Kalligram,2009
"Bromfield, Louis",Pani Parkingtonová,,,
Bacharach A.L. Ed.,The Music Master I II III IV,London And Tonbridge,Pelican Book,1957. [Penguin Books]
Bachtík Josef,Giuseppe Verdi,Praha,Stat. Nak. Krás. Lit. ...,1960
Bachtík Josef,XIX Století v hudbě,Praha – Bratislava,Editio Supraphon,1970
Bacon Francis,Eseje,Praha,Odeon,1985
Bacon Francis,Nová Atlantída a Eseje,Praha,Mladá Fronta,1980
Baltac Honoré De,Lesk a bieda kurtizán,,,
Balzac Honoré De,Rozmarné Poviedky,,,
Balzac Honoré De,Tridsaťročná,,,
Balzac Honoré De,Vášeň V Púšti,,,
Bankowicz Marek,Kritikové marxismu,Praha,Barrister & Principal,2013
Banáry Boris,Dejiny Hudby I,Žilina,11-30-94,
Baomová Vicki,2udia v hoteli,,,
Barandová-Frank Věra,Latina jako medzinárodní jazyk,Praha,1995,
Barbera G.,L´Orchestra,Firenze,1954,
Bartoš František,Mozart v dopisech,Praha,Stat. Nak. Kras. Lit. ...,1956
Bartoš Hynek,Očima lékaře Studie k počátkům řeckého myšlení o lidské přirozenosti z hlediska rozlišení duše-tělo,Praha,Pavel Mervart,2006
Bartoš Jan Zdeněk,Čtení P Hudebních Formách (Populární Přehled A Zábavný Výklad S Notovými Příklady A Obrázky),,Praha,Panton  1960.[čtení o hudbě  svazek 7]
Basiat Claude Frédéric,Co je vidět a co není vidět,Praha,Mudwig Von Mises Institut,2016
Basiat Claude Frédéric,Petice za zákaz slunce a jiné absurdity ekonomie,Praha,Mudwig Von Mises Institut,2015
Baumová Vicki,Zlaté črievičky,,,
Bayard Pierre,Jak mluvit o knihách které jsme nečetli,Brano,Host,2010
Bazlac De Honoré,Rozmarné poviedky 1957,Výber,Rozmarné Poviedky  1957,
Bažant Jan,Pražský Belvedér a severská renesance,Praha,Academia,2006
"Bažantová Ilona, Bednář Miloslav, Gruška Jiří, Štaif Jiří",Karel Havlíček Borovský Liberální politik a ekonom,Praha,Centrum Pro Ekonomiku A Politiku,č. 14/ 2002.
Beczýssyová Judita,Len raz som mladá,,,
Bednaár Alfonz,Sklený Vrch,,,
Bednár Juraj,Hackni Sa! Úvahy O Slobode,,Podnikaní,živote  kryptomenách a budúcnosti. 2019.
"Beekman, Vladimir",Noční letci,,,
Beinert Wolfgang,Malé dějiny křesťanského myšlení,Kostelní Vydří,Karmelitánské Nakladatelství,2012
Bejblík Alois,Život a smrt renesančního kavalíra,Praha,Mladá Fronta,1989
Bendello Matteo,Padesát pamětihodných příběhů,Praha,Odeon,1975
Benedikt Xvi.,Caritas in veritate Láska v pravdě Encyklika o integrálním lidském rozvoji a v lásce a v pravdě,Praha,Karmelitánské Nakladatelství,2009
Beneš Edvard,Paměti Od Mnichova k nové válce a k novému vítězství,Praha,Orbis,1948
Beneš Juraj,O Harmónii,Bratislava,Hudobné Centrum,2003
"Benjamin, Walter",Iluminácie Eseje,Bratislava,Kalligram,1999
Benzoniová Juliette,Krásna Catherine I,,Ii.,
"Benzoniová, Juliet",Jediná Láska 1 Zlaté Rúno 2,,,
Bering Kunibert,Fra Angelico,Mittelatericher Mystiker Oder Maler Der Renaissance? Bamberg,1984,
Berkovec Jiří,Josef Suk,Praha,Stat. Nak. Krás. Lit. ...,1956
Berkovec Jiří,Život plný hudby Vyprávění o Antonínu Dvořákovi,Praha,Academia,1996
Berlioz Hector,Večera v orchestru,Praha,Supraphon,1970
Bernstein Carl And Politi Marco,His Holiness John Paul II and the hidden history of our time,Ny,Doubleday,1996
"Bertens Hans, Natoli Joseph",Encyklopedie Postmodernismu,Brno,Barrister & Principal,2005
"Berwinská, Krystýna",Con amore,,,
Beránek Vratislav,The Illustrated History of Music,Prague,Aventinum,1994
"Biegel Richard, Konečný Lubomír, Ottová Michaela, Prahl Roman",Ikonografie Témata,,Motivy,interpretace. Kniha k poctě Jana Royta. Praha  Karolium  2016.
"Biehlová Janet, Staudenmaier Peter",Ekofašismus,,Poučení Z Nemecké Zkušenosti. Votobia,1999
"Black Ian, Morris Benny",Mossad Izraelské tajné války,Brno,Jota,2001
Blackmore R. D.,Lorna Doonová,,,
"Bláha Ondřej A Dittmann Robert A Komárek Karel A Polakovič, Daniel A Uličná Lenka",Kenaanské glosy ve středověkých hebrejských rukopisech s vazbou na české země,Praha,Academia,2015
Boccaccio Giovani,Dekameron,Praha,Levné Knihy,2010
Boccaccio Giovanni,Život Danteho,,Verše,Filocolo. Bratislava  Tatran  1980.
Bocheński Jósef Maria,Slovník filozofických pověr,Praha,Academia,2000
Bodenek Ján,Keď Zanikol Čas,,,
Bohlman Philip V.,World music A very short Introduction,Oxford,Oxford University Press,2002
Bonhoeffer Dietrich,Následování Výklad Kázání na hoře,Praha,Kalich,[1962]. [Nekompletné vydanie]
Bor Vladimír,Operní večery,Praha,Panton,1981
Bor Vladimír,Operní večery,Praha,Panton,1981
Borecký Bořivoj,Slovník řeckých spisovatelů,Praha,Leda,2006
Borelli Antonio A.,Fatima,Posolstvo Tragédia Či Nádeje? Bratislava,2017,
Borelli Antonio A.,Ruženec Záchrana pre svet,Bratislava,Nadácia Slovakia Christiana,2019
Borowski Tadeusz,Rozlúčka S Máriou,,,
Botin Vincente,Raul Castro Blecha která si osedlala tygra,Praha,Paseka,2012
"Boušek, Daniel",Polemika judaismu s islámem ve středověku Šelomo ibn Adret a Šim´on bet Semah Duran,Praha,Academia,2015
Bradbury Ray,Marťanská kronika,,,
Branberger Jan,Stručné déjiny Československé hudby (od najstarších do nejnoviejších dob),Praha,Fr. Urbanek A Synové,1933. [Otiešteno z III. dílu katechismu všeobecných dějin hudby]
Branberger Jan,Svět v opeře,321 Obsahů Oper,Melodramů A Baletů Pro Návštévníky Divadelních Představení A Poslucháče Rozhasu. Praha,Orbis  1939.
Branecký Jozef,Fráter Johannes,,,
Brecht Bretolt,Trojgrošový román,Smena – Mladá Fronta – Naše Vojsko,1964,
Bremer Friedrich,Handlexikon der musik,Leipzig,Reclam,[1894]
Bridges John,Jak být dokolalý gentleman,Praha,Pragma,2011
Bromfield Louis,Nastali Dažde I,,Ii,
Bronteová Anne,Tajomná Pani Grahamová,,,
Bronteová Charlotte,Jena Eyrová,,,
Bronteová Emily,Búrlivé Výšiny,,,
"Brown Howard Mayer, Stein Louise K.",Hudba v Renesancii,Bratislava,Hudobné Centrum,2012
"Bruček Zdeněk, Rottenberg Ivo",Abc Lovce Zvuku,,Praha,Práce  1974.
Buber Martin,Extatická vyznání,Praha,Vyšehrad,2016
Buber Martin,Příběhy rabiho Nachmana,Praha,Malvern,2018
Buber Martin,Reči o výchově,Praha,Vyšehrad,2017
Buber Martin,Temnota Boží,Praha,Vyšehrat,2002
Buber Martin,Úvahy o chasidismu,Praha,Vyšehrad,2015
Buchner Alexander,Hudební Nástroje od pravěku k dnešku,Praha,Orbis,1956
Bukofzer Manfred F.,Hudba v období baroka,Bratislava,Opus,1986
Bulwer-Lytton Edward,Posledné dni pompejí,,,
Bunin Ivan Alexejevič,Proklaté dny,Praha,Argo,2006
"Bunčák, Pavel",Malý breviár lásky,,,
Burckhardt Jacob,Kultura renesance v Itálii,Praha,Rybka,2013
Burian K. V.,O hudbě starověké,Plzeň,Theodor Mareš,1948
Burian K. V.,O hudbě středověké,Plzeň,Theodor Mareš,1948
Burke Raymond Leo Kardinál,Mlčet nestačí V rozhovore s Guillaumem d´alancon,Praha,Hesperion,2017
Burroughs William S.,Junky,London,Penguin,2012
Burrows John,Klasická hudba Veľký ilustrovaný poradca,Bratislava,Svolart,2008
Bush George W.,Okamžiky rozhodnutí,Praha,Fortuna Libri,2013
"Businska Helena, Martínek Jan",Renesanční poesie,Praha,Academia,1975
Butler Rupert,Hitlerovi šakali faktá a svědectví,Praha,Naše Vojsko,2008
"Báje A Povídky. Praha,","Odeon,",['Próza'],Antická,1976
Bárdiová Marianna,Ján Móry ( 1892-1979) Tatranský skladateľ a hotelier,Bratislava,Sav,2013
Béla Bartók,írásai /3,Budapest,Editio Musuca Budapest,1999
"Bíl Hynek, Janáček Leoš, Kyselková Františka",As recorded by the phonograph in 1909-1912,Brno,Av Čr,2012
"Cardozo, Benjamin N.",Podstata súdneho procesu,Bratislava,Kalligram,2011
"Chrappa, Štefan Pišta Vandal",Pekelná muzika,Svätý Jur,Limerick,20173
"Chvatík, Květoslav",Pohledy na českou literaturu z ptačí perspektivy,Praha,Pražská Imaginace,1991
"Caesar, Gaius Iulius",Zápisky o válce galské,Praha,Naše Vojsko,1986
Cahill Thomas,Mysteria středověku a počátek moderního světa,Praha,Pragma,2008
Caillois Roger,Pilát Pontský 1964,,Pilát Pontský  1964,
Calasso Roberto,K,Bratislava,Slovart,2002
Campbell Joseph,Primitivní mytologie Masky bohů,Praha,Pragma,2008
Canfora Luciano,Dějiny řecké literatury,Třetí,Revidované A Doplněné Vydání. Praha,KLP  2009.
Canseliet Eugen A Dujols Pierr,Mutus Liber Nemá kniha alchymie,Praha,Malvern,2017
Canseliet Eugene,Alchymie vysvětlená na základe svých klasických textů,Praha,Malvern,2014
Cantalamessa Raniero,Na pleciach obrov,Veľké Pravdy Viery,Ako O Nich Meditovali A Ako Ich Žili Cirkevní Otcovia. Bratislava,Postoj  2020.
Capranica Luigi,Vodca Čiernych Bánd,,,
"Capuana, Luigi",Markíz z roccaverdiny,,,
Carbonell Charles-Olivier,Evropské dějiny Evropy 1 Mýty a základy / 2 Od renesance k renesanci?,Praha,Karolinum,2003
Carpenter Humphrey,Ježiš,Praha,Odeon,Argo  1994.
Casanova Giacomo,Útek z benátok,,,
Catalog Of The Musical Instrument Collection Of The Koizumio Memorial Archives Faculty Of Music,".Tokyo,",Geijutsu,"Daigaku,",1987
Cellini Benvenuto,Vlastní životopis,Praha,Odeon,1976
Cervantes Y Saavedra Miguel,Důmyslný rytíř Don Quijote de la Mancha,Fortuna Libri,2015,
"Cervantes Y Saavedra, Miguel De",Persiles a Sigismunda Severský příběh,Praha,Academia,2016
Cervenka Andreas,Peníze Jakou mají cenu,Praha,Práh,2014
"Cetl Jiří, Horák Petr, Hošek Radislav, Kudrna Jaroslav",Průvodce evropského myšlení,Praha,Panorama,1985
Chabannes Jacques,Na Lásku Sa Neumiera,,,
"Chabannes, Jacques",Milenec královen,,,
Chafuen Alejandro A.,Víra a svoboda Ekonomické myšlení pozdních scholastiků,Praha,Liberální Institut,2011
Chailley Jacques,40000 let hudby,Praha,Státní Hudební Vydavatelství,1965
Chaloupka Otakar,Takoví jsme my čeští čtenáři,Praha,Adonai,2002
Chalupka Ľubomír,Slovenská hudobná avangarda Bratislava U K,,F.F.,Katedra hud. vedy  2011.
Chariton,O věrné lásce charitea a kallirhoe,Praha,Odeon,1967
Charriere Henri,Motýľ,,,
Charriére Henri,Papillon,London,Grafton,1986
Cheserton G. K.,Případy otce Browna The Head of Caesar Hlava Vaesarova,Praha,Gramond,2009
Chestereton Gilbert Keith,Napoleon z Notting Hillu/ Létajéící hospoda/ Návrat Dona Quijota,Praha,Odeon,1985
Chestereton Gilbert Keith,Povídky otce Browna / Paradoxy pana Ponda,Praha,Odeon,1985
Chesterton Gilbert Keith,Klub podivných živností anarchista čtvrtek,Praha,Odeon,1987
Chesterton Gilbert Keith,Ortodoxie,Praha,Leda,2016
