Name,Title,Town,Publisher,Date,First Name,Last Name,Full Name
45Th Medieval And Renaissance Music Conference.,Prague,4.0-8,July,2017,Medieval And Renaissance Music Conference.,45Th,Medieval And Renaissance Music Conference. 45Th
Abgrall Jean-Marie,Mechanismus sekt,Praha,Karolium,2000,Jean-Marie,Abgrall,Jean-Marie Abgrall
Accurti Thomas,Editiones Saeculi XV Pleraeque Bibliographis Ignotae Annotationes Ad opus quod inscribitur –Gesamtkatalog der wiegendrucke- Voll I-IV,Florentiae Ex,Tipografia Giuntina,MCMXXX [1930].,Thomas,Accurti,Thomas Accurti
Achmatovová Anna,Ľúbostný denník,Bratislava,1964,,Anna,Achmatovová,Anna Achmatovová
"Adam, Daniel Z Veleslavína",Nomenclator quadrilinguis Bohemico-Latino-Graeco-Germanicus,Praha,Academia,2015,Daniel Z Veleslavína,Adam,Daniel Z Veleslavína Adam
Adorno Teodor V.,Estetička Teorija,Beograd,Nolit,1979,Teodor V.,Adorno,Teodor V. Adorno
Adorno Theodor W.,Schéma masové kultury,Praha,Oikoymenh,2009. [malá řada],Theodor W.,Adorno,Theodor W. Adorno
"Adorno, Theodor W.",Žargon autenticity K německé ideologii,Praha,Academia,11-30-14,Theodor W.,Adorno,Theodor W. Adorno
Aischylos,Orestela,Brno,Fr. Borový,1944,,Aischylos,Aischylos
Aischylos,Prométheus,Praha,Orbis,1969,,Aischylos,Aischylos
Ajtmatov Čingiz,Biela Loď,,,,Čingiz,Ajtmatov,Čingiz Ajtmatov
Aksinov Vasilij,Pomaranče z Maroka,,,,Vasilij,Aksinov,Vasilij Aksinov
Albrecht Ján,Eseje o umení,Bratislava,Opus,1986,Ján,Albrecht,Ján Albrecht
Alighieri Dante,Nový život,Praha,Československý Spisovatel,1969,Dante,Alighieri,Dante Alighieri
"Alighieri, Dante",The divine comedy,Wordsworth,2009,,Dante,Alighieri,Dante Alighieri
Alihieri Dante,Divina Commedia Introduzione di Italo Borzi Commento a cura di Giovanni Fallani e Silvio Zennaro Edizione integrale,Roma,Newton,20062013,Dante,Alihieri,Dante Alihieri
Allen Hervey,Antonio Adverso Berlin Büchergilde Gutenberg 1938,Švabach,Antonio Adverso  Berlin  Büchergilde Gutenberg  1938,,Hervey,Allen,Hervey Allen
Almanach Rukopisné Obrany,I.,Praha,Neklan,1992,Rukopisné Obrany,Almanach,Rukopisné Obrany Almanach
Almanach Rukopisné Obrany,Ii.,Praha,Neklan,1993,Rukopisné Obrany,Almanach,Rukopisné Obrany Almanach
Almanach Rukopisné Obrany,Iii.,Praha,Neklan,1995,Rukopisné Obrany,Almanach,Rukopisné Obrany Almanach
Alpatov Michail V.,Dejiny umenia,Iii,Iv. Bratislava,Tatran  1981.,Michail V.,Alpatov,Michail V. Alpatov
Altricher Michal Ed.,Svatý Jiří Životopis a legendy,Olomouc,Centrum Aletti – Refugium,2020,Michal Ed.,Altricher,Michal Ed. Altricher
Altrichter Michal,Vyprávění o Desateru,Olomouc,Refugium,2014,Michal,Altrichter,Michal Altrichter
Altrichter Michal,Vyprávění o svátostech,Olomouc,Refugium,2019,Michal,Altrichter,Michal Altrichter
Ami Šlomo Ben,Válečné Šrámy - Mírové Rány. Izraelsko Arabská Tragedie. ,Praha,Argo,2010,Šlomo Ben,Ami,Šlomo Ben Ami
Andersen Christopher,George a Laura Pravda o jednom manželství,Praha,Prah,2003,Christopher,Andersen,Christopher Andersen
Anderson M. S.,Europe in the Eighteenth Century 1713-1789,London,Longman,20004,M. S.,Anderson,M. S. Anderson
Andreae Johann Valentin,Christiano polis,Praha,Trigon,2017,Johann Valentin,Andreae,Johann Valentin Andreae
Andrewes Antony,Greek Society,Oxford,Pelican,1970,Antony,Andrewes,Antony Andrewes
Antické Tradice V Českém Umění,,Praha,Národní Galerie V Praze,1982. [katalóg z výstavy],Tradice V Českém Umění,Antické,Tradice V Českém Umění Antické
